NOUN	CLASS
galiña	ave-animal-natural
aguia	ave-animal-natural
pato	ave-animal-natural
cisne	ave-animal-natural
moucho	ave-animal-natural
pingüín	ave-animal-natural
pavón	ave-animal-natural
can	animTerrestre-animal-natural
elefante	animTerrestre-animal-natural
vaca	animTerrestre-animal-natural
gato	animTerrestre-animal-natural
león	animTerrestre-animal-natural
porco	animTerrestre-animal-natural
caracol	animTerrestre-animal-natural
tartaruga	animTerrestre-animal-natural
cerdeira	arbFroito-vexetal-natural
bananeira	arbFroito-vexetal-natural
pereira	arbFroito-vexetal-natural
ananás	arbFroito-vexetal-natural
cogomelo	verdura-vexetal-natural
millo	verdura-vexetal-natural
leituga	verdura-vexetal-natural
pataca	verdura-vexetal-natural
cebola	verdura-vexetal-natural
botella	ferramenta-artefacto-artefacto
lapis	ferramenta-artefacto-artefacto
bolígrafo	ferramenta-artefacto-artefacto
vaso	ferramenta-artefacto-artefacto
cunca	ferramenta-artefacto-artefacto
tesoira	ferramenta-artefacto-artefacto
teteira	ferramenta-artefacto-artefacto
coitelo	ferramenta-artefacto-artefacto
desaparafusador	ferramenta-artefacto-artefacto
martelo	ferramenta-artefacto-artefacto
culler	ferramenta-artefacto-artefacto
cicel	ferramenta-artefacto-artefacto
teléfono	ferramenta-artefacto-artefacto
gamela	vehículo-artefacto-artefacto
coche	vehículo-artefacto-artefacto
barco	vehículo-artefacto-artefacto
camión	vehículo-artefacto-artefacto
foguete	vehículo-artefacto-artefacto
moto	vehículo-artefacto-artefacto
helicóptero	vehículo-artefacto-artefacto
